VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,PULocationID,DOLocationID,payment_type,fare_amount,extra,tip_amount,tolls_amount,congestion_surcharge,total_amount
2,2024-01-11 23:15:00,2024-01-11 23:52:00,2,0.05,1,48,244,1,4.88,0.5,6.11,6.55,2.5,20.54
1,2024-01-01 14:20:00,2024-01-01 14:35:00,3,9.31,1,77,81,2,26.98,0.5,2.32,0.0,0.0,29.8
1,2024-01-04 17:50:00,2024-01-04 18:39:00,1,0.21,1,178,144,2,4.36,0.5,0.38,0.0,2.5,7.74
2,2024-01-09 07:24:00,2024-01-09 08:00:00,1,3.87,1,257,8,2,10.84,0.5,1.91,0.0,0.0,13.25
1,2024-01-08 20:04:00,2024-01-08 20:17:00,2,0.76,2,117,167,1,6.26,0.0,1.72,0.0,0.0,7.9799999999999995
1,2024-01-05 08:25:00,2024-01-05 09:03:00,1,0.33,1,19,186,1,3.03,0.5,4.5,0.0,2.5,10.53
2,2024-01-12 16:50:00,2024-01-12 17:43:00,2,1.33,2,59,12,2,6.8,1.0,0.95,0.0,0.0,8.75
1,2024-01-04 01:46:00,2024-01-04 02:05:00,1,2.38,1,196,83,1,11.41,0.0,0.0,0.0,0.0,11.41
1,2024-01-11 00:23:00,2024-01-11 01:00:00,2,1.1,1,107,55,2,3.08,0.5,2.01,0.0,0.0,5.59
1,2024-01-08 21:23:00,2024-01-08 21:43:00,3,0.13,1,34,131,1,2.5,0.0,1.64,6.55,2.5,13.19
2,2024-01-12 03:03:00,2024-01-12 03:45:00,4,2.1,2,251,125,1,10.02,1.0,0.0,6.55,2.5,20.07
1,2024-01-06 18:42:00,2024-01-06 19:06:00,1,5.35,1,126,51,1,23.23,0.5,0.09,0.0,0.0,23.82
2,2024-01-02 04:05:00,2024-01-02 04:31:00,3,1.11,2,106,27,1,5.76,0.0,0.0,0.0,0.0,5.76
1,2024-01-01 12:49:00,2024-01-01 13:10:00,1,0.56,1,180,165,2,6.05,0.5,0.29,0.0,0.0,6.84
1,2024-01-02 16:33:00,2024-01-02 17:12:00,2,1.34,1,110,33,2,6.48,0.0,0.83,0.0,2.5,9.81
2,2024-01-04 16:31:00,2024-01-04 17:12:00,1,0.11,2,228,62,1,8.16,0.0,2.38,6.55,0.0,17.09
2,2024-01-04 12:11:00,2024-01-04 12:34:00,2,3.95,3,121,145,1,11.06,1.0,0.38,0.0,0.0,12.440000000000001
2,2024-01-05 11:00:00,2024-01-05 11:10:00,3,4.03,2,107,171,1,14.52,1.0,0.81,0.0,2.5,18.83
2,2024-01-13 04:48:00,2024-01-13 05:18:00,1,2.04,1,131,117,2,5.71,0.5,2.67,0.0,2.5,11.379999999999999
1,2024-01-14 17:29:00,2024-01-14 17:36:00,1,1.0,1,23,4,2,2.8,0.5,2.31,0.0,0.0,5.609999999999999
2,2024-01-05 10:36:00,2024-01-05 10:55:00,1,3.7,1,145,66,1,14.1,0.0,0.21,0.0,2.5,16.810000000000002
2,2024-01-07 00:26:00,2024-01-07 01:05:00,2,1.86,1,154,60,2,8.56,1.0,1.89,6.55,0.0,18.0
2,2024-01-14 03:42:00,2024-01-14 04:20:00,2,4.02,1,107,229,2,13.54,1.0,0.35,0.0,2.5,17.39
1,2024-01-13 19:11:00,2024-01-13 19:32:00,2,2.3,3,146,100,2,9.17,0.0,0.64,0.0,2.5,12.31
1,2024-01-02 21:47:00,2024-01-02 22:16:00,1,3.53,1,252,119,2,20.63,1.0,1.35,0.0,2.5,25.48
2,2024-01-01 03:09:00,2024-01-01 03:45:00,2,2.1,2,70,69,1,8.23,1.0,0.0,0.0,2.5,11.73
2,2024-01-14 06:38:00,2024-01-14 06:51:00,2,1.23,2,31,152,1,7.72,0.0,11.13,0.0,0.0,18.85
2,2024-01-03 02:05:00,2024-01-03 02:52:00,3,7.29,3,93,221,2,21.79,0.5,0.4,0.0,0.0,22.689999999999998
2,2024-01-02 07:39:00,2024-01-02 08:28:00,1,1.79,1,137,223,1,8.75,0.5,3.34,6.55,2.5,21.64
1,2024-01-01 21:07:00,2024-01-01 21:21:00,4,2.14,1,163,165,1,8.4,0.5,3.9,0.0,0.0,12.8
2,2024-01-13 10:32:00,2024-01-13 10:55:00,1,0.57,1,81,211,1,3.57,0.0,0.0,0.0,0.0,3.57
1,2024-01-08 21:54:00,2024-01-08 22:07:00,2,2.26,1,76,63,1,13.88,0.5,0.0,0.0,0.0,14.38
2,2024-01-03 11:16:00,2024-01-03 11:57:00,4,1.95,1,63,6,1,11.4,0.0,4.56,6.55,2.5,25.01
2,2024-01-03 16:50:00,2024-01-03 17:20:00,2,0.47,1,100,248,1,4.66,0.0,6.95,0.0,2.5,14.11
1,2024-01-07 03:18:00,2024-01-07 03:25:00,1,0.14,2,48,229,2,2.5,1.0,0.42,0.0,0.0,3.92
2,2024-01-11 01:42:00,2024-01-11 02:01:00,1,2.13,1,74,257,2,8.06,1.0,0.0,0.0,0.0,9.06
2,2024-01-08 09:07:00,2024-01-08 09:29:00,1,3.32,1,192,63,1,19.05,0.5,0.14,0.0,0.0,19.69
2,2024-01-07 02:32:00,2024-01-07 03:15:00,1,1.7,1,30,28,1,7.18,0.0,0.0,6.55,0.0,13.73
2,2024-01-08 07:55:00,2024-01-08 08:43:00,1,0.59,1,157,53,1,7.41,0.5,1.92,0.0,2.5,12.33
1,2024-01-08 02:53:00,2024-01-08 03:07:00,2,2.53,2,256,252,1,13.69,0.5,0.0,0.0,0.0,14.19
2,2024-01-06 20:33:00,2024-01-06 20:41:00,2,0.19,3,39,38,2,4.08,1.0,3.52,0.0,0.0,8.6
2,2024-01-08 02:33:00,2024-01-08 02:52:00,3,1.34,3,55,139,1,4.65,0.5,0.08,0.0,0.0,5.23
1,2024-01-08 15:36:00,2024-01-08 16:29:00,1,0.41,1,28,53,1,2.5,0.5,3.61,0.0,0.0,6.609999999999999
2,2024-01-02 19:32:00,2024-01-02 19:53:00,2,0.47,3,118,94,1,6.03,1.0,0.06,0.0,0.0,7.09
1,2024-01-11 23:07:00,2024-01-11 23:35:00,4,0.52,1,209,94,1,2.5,0.5,0.0,6.55,2.5,12.05
2,2024-01-12 21:59:00,2024-01-12 22:49:00,2,1.12,3,75,137,1,6.58,0.5,0.18,0.0,2.5,9.76
2,2024-01-09 11:26:00,2024-01-09 12:12:00,1,0.12,1,65,256,1,2.5,0.0,0.64,0.0,2.5,5.640000000000001
2,2024-01-06 17:06:00,2024-01-06 17:52:00,1,1.17,1,100,37,1,5.61,0.5,0.0,6.55,2.5,15.16
1,2024-01-11 02:21:00,2024-01-11 03:15:00,2,1.65,1,46,142,1,7.7,1.0,0.72,0.0,2.5,11.92
1,2024-01-03 04:32:00,2024-01-03 05:06:00,1,1.52,1,156,147,2,7.93,1.0,1.57,6.55,0.0,17.05
2,2024-01-02 02:25:00,2024-01-02 02:33:00,2,1.11,2,240,8,1,3.32,0.0,0.0,0.0,2.5,5.82
1,2024-01-03 17:43:00,2024-01-03 18:21:00,1,4.2,3,259,251,1,17.75,1.0,0.0,0.0,2.5,21.25
2,2024-01-14 12:17:00,2024-01-14 12:57:00,4,0.36,1,136,135,2,2.52,1.0,0.0,0.0,2.5,6.02
